dir,nb
ice_cream,335
mochi,291
hand-rolled_sushi,279
chicken_mince_cutlet,273
boiled_egg,251
tempura_assorted,246
cheese_katsu,244
chicken_nanban,241
cookie,234
melonpan,230
grilled_salmon,229
shumai,227
fruit_jelly,223
yakitori_with_salt,217
sukiyaki,212
beef_croquette,209
fillet_steak,205
sesame_of_japanese_mustard_spinach,201
forced_udon,191
teriyaki_chicken,188
almond,179
salad_chicken,178
kamaboko,175
vegetable_pot,173
ochazuke,171
grilled_dumplings,168
coffee_jelly,168
somen,167
grilled_mackerel,166
fried_shrimp,165
roast_beef,165
motsunabe,162
french_fries,156
yogurt,156
steamed_bun,155
grilled_yellowtail,155
cornflakes,153
shabu_steamed_pork_and_vegetables,153
omelette,152
roll_cabbage,151
spring_roll,149
ingredients_vegetable_soup,147
miso_katsu,146
pig_shabu,146
black_tea,146
steamed_chicken_breast,143
caramel_candy,141
vegetable_stew,140
chicken_nugget,139
yakitori_with_sauce,138
tatsuta_fried_chicken,138
pork_shabu-shabu,134
steam_vegetables,133
fried_chicken,132
baked_pumpkin,132
white_chocolate,130
deep_fried_oysters,130
shaved_ice,128
natto,128
cream_stew_with_chicken,127
grilled_potatoes,125
pizza_toast,125
steamed_pumpkin,125
yakiniku__karubi,124
fried_rebanira,124
sausage_saute,124
scrambled_eggs,123
cheeseomelette,121
udon_over,120
hamburger,118
thickness_baked_eggs,118
pho,118
zarusoba,118
granola,114
fried_meat_leek,114
candied_sweet_potato,113
teriyakibaga,113
croquette,113
deep-fried_horse_mackerel,112
tanukisoba,112
hot_spring_egg,111
soymilk,109
raw_ham_and_prosciutto,109
egg_salad,108
savory_egg_custard,108
kakiage,107
youlin_tori,107
boiled_pork,106
hamburger_meat,105
chicken_salad,104
potatoes_butter,103
raw_spring_rolls,102
mapo_eggplant,102
candy,101
roast_chicken,101
strawberry,100
topped_udon,100
monjayaki,100
unaju,99
weight-gaining_stew_for_sumo,99
mizutaki_of_chicken,98
raisin_roll,98
ground_meat_cutlet,97
hash_browns,97
yosenabe,95
cream_of_mushroom_spaghetti,95
acai_bowl,94
meat_noodles,93
soup_vermicelli,93
sundubu_soup__jun_tofu_pot,93
ham_and_vegetables_sand,93
dorayaki,93
dice_steak,92
seafood_don,92
loco_moco,91
popcorn,91
bowl_of_rice_and_fried_fish,91
warm_vegetable_salad,91
coleslaw_salad,90
pork_cutlet,89
firm_tofu,89
pork_saute,88
unadon,87
cup_noodles,87
butter_chicken_curry__lou_only,84
chicken_cutlet,84
peanut_bread,83
ham,82
walnut,82
kiwi,82
shrimp_tendon,82
kakesoba,82
fried_vegetables,82
vegetable_gratin,82
gabao__rice_stir-fried_chicken_and_basil,82
salad_beans,82
chicken_steamed,82
raw_ham_and_salad,81
stir-fried_bean_sprouts_of_pork,81
tagine_pot,80
green_tea,80
raw_egg,79
pancake,79
anpan,79
corn_potage,78
tororo_buckwheat,78
meat_balls,76
sliced_cheese,76
seaweed_soup,76
boiled_chikuzen,76
out_maki_tamago,76
horse_mackerel_of_dried_fish,75
milk_france,74
tomato,74
chicken_curry,74
udonsuki,73
sirloin_steak,72
opening_of_hockey,72
butter_roll,72
radish,71
of_chicken_meatball__sauce,71
tandoori_chicken,70
walnut_bread,70
consomme_soup,70
frankfurt_sausage,69
boiled_radish,68
eyeball_grilled,68
cream_croquette,67
roasted_pork,67
yellowtail_teriyaki,66
crisps,65
ginger_grilled_pork,65
beef_bowl,65
beef_curry,64
milk,64
chige_nabe,63
spinach_shiraae,63
meat_and_potatoes,63
petit_tomatoes,63
rice_balls__plum,63
apple,62
kitsune_udon,61
raisins,60
mixed_nuts,60
kimchi_hot_pot,60
croissant,60
vienna_sausage,60
pudding,60
avocado_and_raw_vegetable_salad,60
fried_pig_kimchi,60
castella,58
mixed_rice,57
bacon_saute,57
chinese_steamed_buns,57
meat_sauce_spaghetti,56
mandarin_orange,56
omelette_rice,56
cabbage_shredded,56
cup_chow_mein,56
rice_balls__salmon,55
egg_soup,55
almond_junket,55
cream_bread,55
salted_plum,54
black_coffee,54
seafood_sushi,54
pork_cutlet_on_rice,54
pork_curry,54
seaweed_salad,54
mix_pizza,53
gum,53
tomato_curry,53
cafe_au_lait,53
chocolate,52
minced_fish_pot,51
beans_and_vegetable_salad,51
vegetable_soup,50
eight_dishes,50
miso_soup,49
mix_sand,48
mabo_vermicelli,48
spicy_chicken,48
namul,47
coffee_milk,47
okonomiyaki,47
toast,47
brown_rice_flakes,46
source_chow_mein,46
fried_eggs,46
pork_soy_sauce_ramen,45
paella,45
tonkotsu_ramen,45
oyakodon,45
macaroni_salad,45
banana,45
shrimp_avocado_salad,44
soy_source_ramen,44
stir-fried_bean_sprouts,44
cabbage_soup,44
gummy,44
dolphin_don,43
mixed_vegetable_salad,43
salmon_cream_pasta,43
boiled_pumpkin,42
baked_pudding,42
gomoku_yakisoba,41
miso_soup_with_pork_and_vegetables,41
spinach_sesame,40
green_beans_sesame,40
kinuasarada,39
mabo_tofu,37
bulgogi,37
lasagna,37
pumpkin_salad,37
kimchi,36
chukadon,36
shrimp_gratin,36
kakiagesoba,36
cold_tofu,36
rice,34
cheese_salad,34
fried_meat_vegetables__pork,34
caffe_latte,34
tomato_and_lettuce_salad,33
miso_ramen,33
tuna_salad,33
potato_gratin,30
fried_chili_sauce_of_shrimp,30
green_soybeans,29
stir-fried_udon,29
hodgepodge,29
twice_cooked_pork,28
burdock_salad,27
egg_porridge,26
silken_tofu,25
fried_rice,25
shrimp_tomato_cream_spaghetti,25
pilaf_of_clams,25
doria,24
cod_roe_spaghetti,24
vegetable_salad,24
goya_chample,24
japchae,23
pizza__margherita,23
salt_ramen,23
caesar_salad,23
pizza__seafood,22
potato_salad,21
penne_arrabiata,21
salt_fried_noodles,20
radish_salad,20
tomato_sauce_spaghetti,20
carbonara,17
flour_cake,13

[294 rows x 2 columns]
nb of categories =  294
nb of total images =  26338
